"","Borough","XCoord","YCoord"
"257","BK",984127,167891
"258","BK",1010309,183825
"259","BK",1016538,188671
"260","BK",979998,159701
"261","BK",974568,170582
"262","BK",1018015,179885
"263","BK",1015226,184414
"264","BK",997665,159455
"265","BK",1002522,165681
"266","BK",980705,160600
"267","BK",988771,188888
"268","BK",990204,186252
"269","BK",993998,200006
"270","BK",987133,165639
"271","BK",986125,181921
"272","BK",1008804,179728
"273","BK",976662,165515
"274","BK",999303,200683
"275","BK",1000305,167246
"276","BK",991314,170560
"277","BK",995124,167423
"278","BK",985844,168343
"279","BK",994719,175834
"280","BK",995611,160023
"281","BK",998111,191854
"282","BK",995045,165953
"283","BK",999130,170202
"284","BK",997239,188442
"285","BK",1014378,183662
"286","BK",999111,176752
"287","BK",986104,188846
"288","BK",980567,168674
"289","BK",980956,166703
"290","BK",996240,156992
"291","BK",994286,154876
"292","BK",1001128,150437
"293","BK",994125,186911
"294","BK",983134,161507
"295","BK",1019989,188837
"296","BK",1011098,161686
"297","BK",1014495,184258
"298","BK",977705,163960
"299","BK",1013636,180500
"300","BK",996236,204255
"301","BK",998531,160946
"302","BK",1007587,167621
"303","BK",982381,149998
"304","BK",998273,196958
"305","BK",1008407,182689
"306","BK",1009000,164031
"307","BK",996607,166961
"308","BK",1004935,164477
"309","BK",995635,183416
"310","BK",1006289,192929
"311","BK",1020580,188627
"312","BK",1009718,188125
"313","BK",976658,172247
"314","BK",985621,186556
"315","BK",1004417,175203
"316","BK",1001433,189184
"317","BK",1007010,185059
"318","BK",1007005,175118
"319","BK",998346,165295
"320","BK",1005083,199827
"321","BK",1021235,186804
"322","BK",997359,189009
"323","BK",982542,189135
"324","BK",1002085,162736
"325","BK",992750,153385
"326","BK",1000880,203598
"327","BK",994108,156393
"328","BK",1002648,170015
"329","BK",998762,195677
"330","BK",982611,170908
"331","BK",990996,177052
"332","BK",985269,149295
"333","BK",986437,167874
"334","BK",1005722,190523
"335","BK",1003607,165260
"336","BK",1000169,168283
